pitcher_id,season,opportunities_2b,sb_2b,cs_2b,attempts_2b,attempt_rate,sb_pct,tempo22_w,pitches22,baseline_group,in_baseline_2022,appears_post_only,balanced_panel_18_24
544727,2018,197,3,1,4,0.02030456852791878,0.75,21.749,171.0,T3,1,0,0
544836,2018,27,1,0,1,0.037037037037037035,1.0,,,,0,0,0
544928,2018,59,1,0,1,0.01694915254237288,1.0,,,,0,0,0
544931,2018,420,6,2,8,0.01904761904761905,0.75,,,,0,0,0
545332,2018,38,0,0,0,0.0,,,,,0,0,0
545333,2018,572,8,5,13,0.022727272727272728,0.6153846153846154,,,,0,0,0
545363,2018,29,1,0,1,0.034482758620689655,1.0,,,,0,0,0
547007,2018,10,0,0,0,0.0,,,,,0,0,0
547179,2018,321,3,1,4,0.012461059190031152,0.75,16.377,277.0,T1,1,0,1
547749,2018,78,0,1,1,0.01282051282051282,0.0,,,,0,0,0
547888,2018,411,6,2,8,0.019464720194647202,0.75,,,,0,0,0
547943,2018,212,0,0,0,0.0,,19.085,56.0,T2,1,0,0
547973,2018,204,2,0,2,0.00980392156862745,1.0,24.38,118.0,T3,1,0,1
548357,2018,30,0,0,0,0.0,,,,,0,0,0
548389,2018,422,1,6,7,0.016587677725118485,0.14285714285714285,17.136,258.0,T1,1,0,1
552640,2018,110,0,0,0,0.0,,,,,0,0,1
553878,2018,208,1,0,1,0.004807692307692308,1.0,,,,0,0,0
553902,2018,4,0,0,0,0.0,,,,,0,0,0
554340,2018,61,0,0,0,0.0,,20.446,181.0,T3,1,0,1
554430,2018,643,6,1,7,0.01088646967340591,0.8571428571428571,16.643,329.0,T1,1,0,1
570240,2018,317,1,1,2,0.006309148264984227,0.5,,,,0,0,0
570632,2018,663,4,7,11,0.016591251885369532,0.36363636363636365,16.557,280.0,T1,1,0,1
570663,2018,201,1,0,1,0.004975124378109453,1.0,22.09,76.0,T3,1,0,0
570666,2018,132,0,0,0,0.0,,18.884,189.0,T2,1,0,0
570702,2018,29,1,0,1,0.034482758620689655,1.0,,,,0,0,0
571035,2018,93,0,2,2,0.021505376344086023,0.0,,,,0,0,0
571473,2018,36,1,0,1,0.027777777777777776,1.0,,,,0,0,0
571476,2018,112,1,4,5,0.044642857142857144,0.2,,,,0,0,0
571510,2018,657,9,1,10,0.015220700152207,0.9,,,,0,0,1
571561,2018,78,0,0,0,0.0,,,,,0,0,0
571577,2018,21,0,0,0,0.0,,,,,0,0,0
571578,2018,565,7,1,8,0.01415929203539823,0.875,16.043,457.0,T1,1,0,1
571602,2018,2,0,0,0,0.0,,,,,0,0,0
571656,2018,241,2,3,5,0.02074688796680498,0.4,20.099,168.0,T3,1,0,1
571666,2018,554,6,4,10,0.018050541516245487,0.6,,,,0,0,0
571670,2018,229,5,1,6,0.026200873362445413,0.8333333333333334,19.697,148.0,T3,1,0,1
571704,2018,139,3,0,3,0.02158273381294964,1.0,,,,0,0,0
571710,2018,284,5,1,6,0.02112676056338028,0.8333333333333334,17.249,220.0,T2,1,0,0
571735,2018,36,0,0,0,0.0,,,,,0,0,0
571760,2018,495,1,1,2,0.00404040404040404,0.5,15.303,160.0,T1,1,0,1
571771,2018,4,0,0,0,0.0,,,,,0,0,0
571800,2018,172,6,0,6,0.03488372093023256,1.0,17.643,290.0,T2,1,0,0
571863,2018,272,0,1,1,0.003676470588235294,0.0,,,,0,0,0
571871,2018,4,0,0,0,0.0,,,,,0,0,0
571882,2018,44,1,0,1,0.022727272727272728,1.0,14.426,72.0,T1,1,0,0
571893,2018,46,0,0,0,0.0,,,,,0,0,0
571901,2018,137,1,0,1,0.0072992700729927005,1.0,18.617,195.0,T2,1,0,0
571927,2018,557,15,0,15,0.026929982046678635,1.0,14.39,120.0,T1,1,0,1
571945,2018,643,2,1,3,0.004665629860031105,0.6666666666666666,14.902,428.0,T1,1,0,0
571946,2018,53,0,0,0,0.0,,,,,0,0,0
571948,2018,23,0,0,0,0.0,,15.528,273.0,T1,1,0,1
571951,2018,326,8,1,9,0.027607361963190184,0.8888888888888888,,,,0,0,0
572020,2018,511,5,1,6,0.011741682974559686,0.8333333333333334,,,,0,0,0
572021,2018,145,1,0,1,0.006896551724137931,1.0,,,,0,0,0
572044,2018,54,0,0,0,0.0,,,,,0,0,0
572070,2018,241,0,2,2,0.008298755186721992,0.0,18.357,96.0,T2,1,0,0
572140,2018,492,5,2,7,0.014227642276422764,0.7142857142857143,,,,0,0,0
572143,2018,399,1,1,2,0.005012531328320802,0.5,,,,0,0,0
572193,2018,210,6,1,7,0.03333333333333333,0.8571428571428571,21.905,135.0,T3,1,0,0
572308,2018,17,1,0,1,0.058823529411764705,1.0,,,,0,0,0
572362,2018,330,3,2,5,0.015151515151515152,0.6,,,,0,0,0
572403,2018,186,4,0,4,0.021505376344086023,1.0,18.365,88.0,T2,1,0,0
572703,2018,73,0,0,0,0.0,,,,,0,0,0
572750,2018,173,0,2,2,0.011560693641618497,0.0,,,,0,0,0
572888,2018,215,1,2,3,0.013953488372093023,0.3333333333333333,,,,0,0,0
572955,2018,208,2,2,4,0.019230769230769232,0.5,21.738,55.0,T3,1,0,0
572971,2018,602,0,0,0,0.0,,17.131,243.0,T1,1,0,1
572998,2018,59,1,0,1,0.01694915254237288,1.0,,,,0,0,0
573046,2018,13,0,1,1,0.07692307692307693,0.0,,,,0,0,0
573064,2018,88,0,0,0,0.0,,,,,0,0,0
573109,2018,67,1,0,1,0.014925373134328358,1.0,,,,0,0,0
573124,2018,211,0,1,1,0.004739336492890996,0.0,22.27,212.0,T3,1,0,1
573127,2018,53,0,0,0,0.0,,,,,0,0,0
573166,2018,5,0,0,0,0.0,,,,,0,0,0
573185,2018,435,4,6,10,0.022988505747126436,0.4,,,,0,0,0
573186,2018,330,4,0,4,0.012121212121212121,1.0,16.52,322.0,T1,1,0,0
573668,2018,134,4,1,5,0.03731343283582089,0.8,,,,0,0,0
580792,2018,55,0,0,0,0.0,,,,,0,0,0
582494,2018,38,0,0,0,0.0,,,,,0,0,0
584171,2018,316,1,3,4,0.012658227848101266,0.25,,,,0,0,0
591693,2018,167,3,2,5,0.029940119760479042,0.6,,,,0,0,0
592094,2018,130,2,2,4,0.03076923076923077,0.5,22.096,123.0,T3,1,0,1
592102,2018,255,2,0,2,0.00784313725490196,1.0,,,,0,0,0
592127,2018,38,0,0,0,0.0,,,,,0,0,0
592130,2018,182,10,1,11,0.06043956043956044,0.9090909090909091,,,,0,0,0
592135,2018,203,1,1,2,0.009852216748768473,0.5,,,,0,0,0
